Prefecture,Area,市区町村,,,Len,区,duplicated,Reference
北海道,札幌市,札幌市,,,3,中央区,,
,,,,,,北区,12,
,,,,,,東区,,
,,,,,,白石区,,
,,,,,,豊平区,,
,,,,,,南区,,
,,,,,,西区,,
,,,,,,厚別区,,
,,,,,,手稲区,,
,,,,,,清田区,,
,函館市,函館市,,1,3,,,
,旭川市,旭川市,,1,3,,,
,その他北海道,小樽市,,1,3,,,
,,室蘭市,,1,3,,,
,,釧路市,,1,3,,,
,,帯広市,,1,3,,,
,,北見市,,1,3,,,
,,夕張市,,1,3,,,
,,岩見沢市,,1,4,,,
,,網走市,,1,3,,,
,,留萌市,,1,3,,,
,,苫小牧市,,1,4,,,
,,稚内市,,1,3,,,
,,美唄市,,1,3,,,
,,芦別市,,1,3,,,
,,江別市,,1,3,,,
,,赤平市,,1,3,,,
,,紋別市,,1,3,,,
,,士別市,,1,3,,,
,,名寄市,,1,3,,,
,,三笠市,,1,3,,,
,,根室市,,1,3,,,
,,千歳市,,1,3,,,
,,滝川市,,1,3,,,
,,砂川市,,1,3,,,
,,歌志内市,,1,4,,,
,,深川市,,1,3,,,
,,富良野市,,1,4,,,
,,登別市,,1,3,,,
,,恵庭市,,1,3,,,
,,伊達市,,2,3,,,
,,北広島市,,1,4,,,
,,石狩市,,1,3,,,
,,北斗市,,1,3,,,
,,当別町,,1,3,,,
,,新篠津村,,1,4,,,
,,松前町,,2,3,,,
,,福島町,,1,3,,,
,,知内町,,1,3,,,
,,木古内町,,1,4,,,
,,七飯町,,1,3,,,
,,鹿部町,,1,3,,,
,,森町,,2,2,,,
,,八雲町,,1,3,,,
,,長万部町,,1,4,,,
,,江差町,,1,3,,,
,,上ノ国町,,1,4,,,
,,厚沢部町,,1,4,,,
,,乙部町,,1,3,,,
,,奥尻町,,1,3,,,
,,今金町,,1,3,,,
,,せたな町,,1,4,,,
,,島牧村,,1,3,,,
,,寿都町,,1,3,,,
,,黒松内町,,1,4,,,
,,蘭越町,,1,3,,,
,,ニセコ町,,1,4,,,
,,真狩村,,1,3,,,
,,留寿都村,,1,4,,,
,,喜茂別町,,1,4,,,
,,京極町,,1,3,,,
,,倶知安町,,1,4,,,
,,共和町,,1,3,,,
,,岩内町,,1,3,,,
,,泊村,,1,2,,,
,,神恵内村,,1,4,,,
,,積丹町,,1,3,,,
,,古平町,,1,3,,,
,,仁木町,,1,3,,,
,,余市町,,1,3,,,
,,赤井川村,,1,4,,,
,,南幌町,,1,3,,,
,,奈井江町,,1,4,,,
,,上砂川町,,1,4,,,
,,由仁町,,1,3,,,
,,長沼町,,1,3,,,
,,栗山町,,1,3,,,
,,月形町,,1,3,,,
,,浦臼町,,1,3,,,
,,新十津川町,,1,5,,,
,,妹背牛町,,1,4,,,
,,秩父別町,,1,4,,,
,,雨竜町,,1,3,,,
,,北竜町,,1,3,,,
,,沼田町,,1,3,,,
,,鷹栖町,,1,3,,,
,,東神楽町,,1,4,,,
,,当麻町,,1,3,,,
,,比布町,,1,3,,,
,,愛別町,,1,3,,,
,,上川町,,1,3,,,
,,東川町,,1,3,,,
,,美瑛町,,1,3,,,
,,上富良野町,,1,5,,,
,,中富良野町,,1,5,,,
